거치대개수,대여소이름,주차된 자전거 수,거치율,위도,경도,대여소ID
7,500. 어린이대공원역 3번출구 앞,1,14,37.54706955,127.07427216,ST-97
30,501. 광진구의회 앞,24,80,37.53730774,127.07035065,ST-98
33,502. 뚝섬유원지역 1번출구 앞,23,70,37.53186035,127.06719208,ST-99
12,505. 자양사거리 광진아크로텔 앞,6,50,37.53701019,127.08224487,ST-102
15,515. 광양중학교 앞,3,20,37.53023529,127.08683014,ST-113
10,516. 광진메디칼 앞,1,10,37.54840469,127.06936646,ST-114
10,539. 군자교교차로,4,40,37.55979538,127.07420349,ST-252
8,540. 군자역 7번출구 베스트샵 앞,9,113,37.55603027,127.07864380,ST-253
19,542. 강변역 4번출구 뒤,21,111,37.53582382,127.09416199,ST-254
20,543. 구의공원(테크노마트 앞),20,100,37.53596878,127.09467316,ST-255
10,544. 광남중학교,22,220,37.54072952,127.10290527,ST-256
8,546. 잠실대교북단 교차로,15,188,37.53247833,127.08509064,ST-257
20,548. 자양나들목,13,65,37.52976990,127.07485962,ST-258
10,549. 아차산역 3번출구,1,10,37.55122375,127.08970642,ST-259
13,551. 구의삼성쉐르빌 앞,2,15,37.54006195,127.09449768,ST-377
9,552. 대림아크로리버 앞,4,44,37.53657913,127.09297180,ST-378
19,553. 중곡 성원아파트 앞,9,47,37.57125473,127.07980347,ST-379
9,555. 구의3동주민센터,7,78,37.53784943,127.09217072,ST-381
20,571. 세종대학교 대양AI센터,18,90,37.55039597,127.07585907,ST-382
10,573. 구의문주차장 앞,10,100,37.54523087,127.08473206,ST-384
45,574. 아차산역4번출구,1,2,37.55184937,127.08898163,ST-385
10,575. 대원중고교 입구(대하빌딩),5,50,37.56429291,127.08693695,ST-386
10,576. 광나루역 3번 출구,21,210,37.54483032,127.10426331,ST-387
10,577. 광진청소년수련관,26,260,37.54654694,127.10613251,ST-388
20,584. 광진광장 교통섬,1,5,37.54782867,127.07263184,ST-445
20,588. 뚝섬 유원지역,11,55,37.53268814,127.06749725,ST-483
20,590. 건국대학교 (입학정보관),3,15,37.53989029,127.07336426,ST-972
5,591. 건국대학교 (행정관),1,20,37.54277802,127.07537079,ST-973
30,592. 건국대학교 학생회관,30,100,37.54191208,127.07763672,ST-974
8,593.자양중앙나들목,27,338,37.52845383,127.07803345,ST-980
7,3500. 군자역2번출구,4,57,37.55758667,127.07969666,ST-983
10,3501. 광진구청 앞,1,10,37.53950119,127.08300018,ST-984
18,3502. 중곡역 1번출구,5,28,37.56565857,127.08429718,ST-985
14,3503. 광진유진스웰,7,50,37.55048752,127.10895538,ST-986
8,3504. 원일교회,20,250,37.53805161,127.07659912,ST-987
12,3505. 신양초교앞 교차로,8,67,37.53522110,127.06839752,ST-988
10,3506. 영동대교 북단,21,210,37.53701401,127.06109619,ST-1191
25,3507. 어린이회관,3,12,37.54595184,127.07800293,ST-1192
7,3508. 화양사거리,1,14,37.54822159,127.06787872,ST-1193
20,3509. 세종사이버대학교,6,30,37.55341721,127.07319641,ST-1194
10,3510. 중곡SK아파트앞,2,20,37.56864929,127.08625031,ST-1427
15,3516. 구의아리수정수센터앞,15,100,37.54370499,127.09324646,ST-1271
10,3517. 용마사거리,19,190,37.56252670,127.08227539,ST-1266
8,3518. 군자역 7번출구뒤,13,163,37.55686188,127.07913971,ST-1263
10,3520. 광진경찰서,4,40,37.54251862,127.08408356,ST-1378
10,3521. 현대홈타운 뒷길,2,20,37.54342651,127.09661865,ST-1379
10,3523. 건국대학교 과학관(이과대) 앞,1,10,37.54171753,127.08016968,ST-1429
8,3528. 광진정보도서관,21,263,37.55059814,127.11051178,ST-1602
15,3529. 어린이대공원정문,16,107,37.54978943,127.07592773,ST-1603
10,3533. 건대입구역 사거리(롯데백화점),23,230,37.53913879,127.07061768,ST-1660
12,3534. 건대입구역 5번출구 뒤,35,292,37.54012680,127.06949615,ST-1661
10,3536. 중앙농협(자양동),33,330,37.53181076,127.08074188,ST-1663
15,3537. 아차산 휴먼시아 아파트 옆,0,0,37.54848862,127.09375763,ST-1664
17,3542. 래미안 구의파크 스위트,10,59,37.54500580,127.09003448,ST-1722
15,3543. 세종대학교(학술정보원),2,13,37.55137253,127.07444000,ST-1760
5,3563.구의7단지현대아파트,4,80,37.53680038,127.09083557,ST-2302
10,3564.나루마당,0,0,37.54707336,127.09828949,ST-2303
10,3566.우성4차아파트,3,30,37.53507233,127.07611084,ST-2305
12,3569.건대병원후문,17,142,37.53956604,127.07244110,ST-2308
10,3570.구의역 리버비스타 오피스텔,24,240,37.53809738,127.08901978,ST-2309
15,3571.화양 APT(횡단보도 옆),26,173,37.54434967,127.06540680,ST-2310
15,3573.광나루안전체험관,1,7,37.55133820,127.07671356,ST-2312
6,3575. 자양사거리(서원빌딩),2,33,37.53657532,127.08258057,ST-2314
20,3579.광진 캠퍼스시티,21,105,37.54788971,127.06745148,ST-2318
15,3581.광진광장,0,0,37.54747009,127.07396698,ST-2320
14,3582.화양동 우체국,18,129,37.54798889,127.06950378,ST-2321
8,3586.군자역 비채온 오피스텔,13,163,37.55771255,127.07727051,ST-2325
15,3587.우성식품 앞,10,67,37.54246521,127.09423065,ST-2407
10,3588.세종대학교(영실관),12,120,37.55237198,127.07353973,ST-2408
18,3853. 어린이대공원역 2번출구,0,0,37.54764938,127.07470703,ST-2541
10,3860. 건국대학교 정문 앞,0,0,37.54651260,127.07571411,ST-2542
10,3863. 동일로58길 입구,6,60,37.55775452,127.07297516,ST-2543
11,3864. 광진소방서 앞,0,0,37.54500580,127.08337402,ST-2544
8,3865. 이튼타워리버 2차,24,300,37.53520966,127.06900024,ST-2545
10,3868. 자양한강도서관,20,200,37.52916336,127.07798767,ST-2546
8,3873. 동서울우편집중국 앞,5,63,37.53470993,127.08447266,ST-2547
15,3878. 장로회신학대학교 주기철 기념관,18,120,37.54983902,127.10302734,ST-2548
7,3879. 중랑천 뚝방길 산책로 입구,24,343,37.56628036,127.07747650,ST-2843
13,3880. 홍련봉 공원,0,0,37.54896927,127.09352875,ST-2830
7,3881. 신자초교입구 교차로,34,486,37.53298569,127.07579041,ST-2865
3,3882. 자양2동 주민센터,20,667,37.52879333,127.08463287,ST-2891
5,3886.광진구 민방위교육센터,11,220,37.53919220,127.09801483,ST-3012
7,3890. 웰츠타워 오피스텔,1,14,37.53803253,127.08355713,ST-3188
7,3891. 군자역4번출구,3,43,37.55681229,127.08107758,ST-3186
