대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-01,2,502,502. 뚝섬유원지역 1번출구 앞,1,1,1,5,108,서울,2022-01-01 02:00:00,-9.5,0.0,1.2,43,0,0,0,0,0,1,0
2022-01-01,4,502,502. 뚝섬유원지역 1번출구 앞,1,1,1,5,108,서울,2022-01-01 04:00:00,-9.6,0.0,1.7,48,0,0,0,0,0,1,0
2022-01-01,5,502,502. 뚝섬유원지역 1번출구 앞,1,1,1,5,108,서울,2022-01-01 05:00:00,-9.7,0.0,0.8,51,0,0,0,0,0,1,0
2022-01-01,7,502,502. 뚝섬유원지역 1번출구 앞,4,1,1,5,108,서울,2022-01-01 07:00:00,-10.1,0.0,1.9,55,0,0,0,0,0,1,0
2022-01-01,8,502,502. 뚝섬유원지역 1번출구 앞,3,1,1,5,108,서울,2022-01-01 08:00:00,-10.2,0.0,2.5,56,0,0,0,0,0,1,0
2022-01-01,9,502,502. 뚝섬유원지역 1번출구 앞,7,1,1,5,108,서울,2022-01-01 09:00:00,-9.1,0.0,2.1,56,0,0,0,0,0,1,0
2022-01-01,10,502,502. 뚝섬유원지역 1번출구 앞,4,1,1,5,108,서울,2022-01-01 10:00:00,-6.8,0.0,2.3,42,0,0,0,0,0,1,0
2022-01-01,11,502,502. 뚝섬유원지역 1번출구 앞,2,1,1,5,108,서울,2022-01-01 11:00:00,-4.3,0.0,0.9,37,0,0,0,0,0,1,0
2022-01-01,12,502,502. 뚝섬유원지역 1번출구 앞,1,1,1,5,108,서울,2022-01-01 12:00:00,-2.3,0.0,1.2,34,0,0,0,0,0,1,0
2022-01-01,13,502,502. 뚝섬유원지역 1번출구 앞,14,1,1,5,108,서울,2022-01-01 13:00:00,-0.1,0.0,1.5,32,0,0,0,0,0,1,0
2022-01-01,14,502,502. 뚝섬유원지역 1번출구 앞,5,1,1,5,108,서울,2022-01-01 14:00:00,1.3,0.0,2.2,32,0,0,0,0,0,1,0
2022-01-01,15,502,502. 뚝섬유원지역 1번출구 앞,11,1,1,5,108,서울,2022-01-01 15:00:00,1.9,0.0,1.7,35,0,0,0,0,0,1,0
2022-01-01,16,502,502. 뚝섬유원지역 1번출구 앞,8,1,1,5,108,서울,2022-01-01 16:00:00,1.8,0.0,1.4,37,0,0,0,0,0,1,0
2022-01-01,17,502,502. 뚝섬유원지역 1번출구 앞,4,1,1,5,108,서울,2022-01-01 17:00:00,0.5,0.0,1.5,38,0,0,0,0,0,1,0
2022-01-01,18,502,502. 뚝섬유원지역 1번출구 앞,3,1,1,5,108,서울,2022-01-01 18:00:00,-0.9,0.0,0.7,42,0,0,0,0,0,1,0
2022-01-01,19,502,502. 뚝섬유원지역 1번출구 앞,3,1,1,5,108,서울,2022-01-01 19:00:00,-1.2,0.0,0.9,45,0,0,0,0,0,1,0
2022-01-01,20,502,502. 뚝섬유원지역 1번출구 앞,3,1,1,5,108,서울,2022-01-01 20:00:00,-1.6,0.0,0.9,47,0,0,0,0,0,1,0
2022-01-01,21,502,502. 뚝섬유원지역 1번출구 앞,4,1,1,5,108,서울,2022-01-01 21:00:00,-2.4,0.0,2.1,49,0,0,0,0,0,1,0
2022-01-01,22,502,502. 뚝섬유원지역 1번출구 앞,5,1,1,5,108,서울,2022-01-01 22:00:00,-2.5,0.0,1.0,49,0,0,0,0,0,1,0
2022-01-01,23,502,502. 뚝섬유원지역 1번출구 앞,4,1,1,5,108,서울,2022-01-01 23:00:00,-2.6,0.0,0.9,52,0,0,0,0,0,1,0
2022-01-02,0,502,502. 뚝섬유원지역 1번출구 앞,2,1,2,6,108,서울,2022-01-02 00:00:00,-2.8,0.0,2.3,55,0,0,0,0,0,0,1
2022-01-02,1,502,502. 뚝섬유원지역 1번출구 앞,1,1,2,6,108,서울,2022-01-02 01:00:00,-2.9,0.0,2.1,57,0,0,0,0,0,0,1
2022-01-02,8,502,502. 뚝섬유원지역 1번출구 앞,1,1,2,6,108,서울,2022-01-02 08:00:00,-2.2,0.0,2.0,83,0,0,0,0,0,0,1
2022-01-02,11,502,502. 뚝섬유원지역 1번출구 앞,6,1,2,6,108,서울,2022-01-02 11:00:00,0.0,0.0,3.3,80,0,0,0,0,0,0,1
2022-01-02,12,502,502. 뚝섬유원지역 1번출구 앞,5,1,2,6,108,서울,2022-01-02 12:00:00,1.4,0.0,2.4,74,0,0,0,0,0,0,1
2022-01-02,14,502,502. 뚝섬유원지역 1번출구 앞,8,1,2,6,108,서울,2022-01-02 14:00:00,2.4,0.0,3.5,55,0,0,0,0,0,0,1
2022-01-02,15,502,502. 뚝섬유원지역 1번출구 앞,9,1,2,6,108,서울,2022-01-02 15:00:00,2.5,0.0,3.3,46,0,0,0,0,0,0,1
2022-01-02,16,502,502. 뚝섬유원지역 1번출구 앞,11,1,2,6,108,서울,2022-01-02 16:00:00,2.5,0.0,3.0,45,0,0,0,0,0,0,1
2022-01-02,17,502,502. 뚝섬유원지역 1번출구 앞,6,1,2,6,108,서울,2022-01-02 17:00:00,1.2,0.0,2.7,45,0,0,0,0,0,0,1
2022-01-02,18,502,502. 뚝섬유원지역 1번출구 앞,1,1,2,6,108,서울,2022-01-02 18:00:00,-0.5,0.0,2.9,40,0,0,0,0,0,0,1
2022-01-02,19,502,502. 뚝섬유원지역 1번출구 앞,3,1,2,6,108,서울,2022-01-02 19:00:00,-1.6,0.0,2.0,41,0,0,0,0,0,0,1
2022-01-02,20,502,502. 뚝섬유원지역 1번출구 앞,3,1,2,6,108,서울,2022-01-02 20:00:00,-2.6,0.0,1.6,46,0,0,0,0,0,0,1
2022-01-02,21,502,502. 뚝섬유원지역 1번출구 앞,4,1,2,6,108,서울,2022-01-02 21:00:00,-2.9,0.0,2.7,48,0,0,0,0,0,0,1
2022-01-02,22,502,502. 뚝섬유원지역 1번출구 앞,3,1,2,6,108,서울,2022-01-02 22:00:00,-3.8,0.0,2.1,49,0,0,0,0,0,0,1
